层编号,模块名称,原始维度,剪枝后维度,保留率,稀疏度
10,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
11,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
11,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
11,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
11,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
11,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
11,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
11,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
12,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
12,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
12,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
12,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
12,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
12,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
12,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
13,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
13,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
13,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
13,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
13,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
13,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
13,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
14,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
14,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
14,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
14,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
14,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
14,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
14,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
15,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
15,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
15,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
15,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
15,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
15,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
15,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
16,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
16,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
16,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
16,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
16,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
16,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
16,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
17,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
17,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
17,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
17,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
17,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
17,mlp_up_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
17,mlp_down_proj,4096 × 14336,4096 × 10752,0.7500,0.2500
18,attn_q_proj,4096 × 4096,3840 × 4096,0.9375,0.0625
18,attn_k_proj,1024 × 4096,768 × 4096,0.7500,0.2500
18,attn_v_proj,1024 × 4096,768 × 4096,0.7500,0.2500
18,attn_o_proj,4096 × 4096,4096 × 3840,0.9375,0.0625
18,mlp_gate_proj,14336 × 4096,10752 × 4096,0.7500,0.2500
